Дата,Телевизия,Предаване,Кандидат,Партия,Линк
2021-10-15,БНТ,Панорама,Румяна Ченалова,5 - ВЪЗРАЖДАНЕ,https://bnt.bg/news/panorama-15102021-299253news.html
2021-10-15,БНТ,Панорама,Виктор Серафимов,7 - НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,https://bnt.bg/news/panorama-15102021-299253news.html
2021-10-15,БНТ,Панорама,Александър Томов,10 - БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,https://bnt.bg/news/panorama-15102021-299253news.html
2021-10-15,БНТ,Панорама,Христо Дунчев,35 - ПАРТИЯ НА ЗЕЛЕНИТЕ,https://bnt.bg/news/panorama-15102021-299253news.html
2021-10-15,БНТ,Панорама,Симеон Славчев,26 - МИР,https://bnt.bg/news/panorama-15102021-299253news.html
2021-10-15,БНТ,Панорама,Георги Георгиев,22 - БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,https://bnt.bg/news/panorama-15102021-299253news.html
2021-10-15,БНТ,Панорама,Волен Сидеров,11 - АТАКА,https://bnt.bg/news/panorama-15102021-299253news.html
2021-10-15,Nova,"""Здравей, България""",Ива Митева,24 - ИТН,https://nova.bg/news/view/2021/10/15/342994/%D0%B8%D0%B2%D0%B0-%D0%BC%D0%B8%D1%82%D0%B5%D0%B2%D0%B0-%D0%B2%D1%8A%D0%B7%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE%D1%81%D1%82%D1%82%D0%B0-%D0%B7%D0%B0-%D0%BA%D0%BE%D0%B0%D0%BB%D0%B8%D1%86%D0%B8%D1%8F-%D0%BD%D0%B0-%D0%BF%D1%80%D0%BE%D1%82%D0%B5%D1%81%D1%82%D0%BD%D0%B8%D1%82%D0%B5-%D0%BF%D0%B0%D1%80%D1%82%D0%B8%D0%B8-%D0%B5-80/
2021-10-16,Nova,Събуди се,Николай Хаджигенов,31 - ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,https://nova.bg/news/view/2021/10/16/343096/%D1%85%D0%B0%D0%B4%D0%B6%D0%B8%D0%B3%D0%B5%D0%BD%D0%BE%D0%B2-%D0%BF%D1%80%D0%B5%D0%B4%D0%B8%D0%B7%D0%B1%D0%BE%D1%80%D0%BD%D0%BE-%D1%81%D0%BF%D0%BE%D1%80%D0%B0%D0%B7%D1%83%D0%BC%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BF%D0%BE-%D1%81%D0%BA%D0%BE%D1%80%D0%BE-%D0%BD%D1%8F%D0%BC%D0%B0-%D0%B4%D0%B0-%D0%B8%D0%BC%D0%B0/
2021-10-16,Nova,Офанзива,Владислав Панев,30 - ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ,https://nova.bg/news/view/2021/10/16/343136/%D0%B2%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2-%D0%BF%D0%B0%D0%BD%D0%B5%D0%B2-%D0%B4%D0%B1-20-%D0%BF%D0%BE-%D0%BD%D0%B8%D1%81%D0%BA%D0%B0-%D1%86%D0%B5%D0%BD%D0%B0-%D0%BD%D0%B0-%D0%B3%D0%B0%D0%B7%D0%B0-%D0%B0%D0%BA%D0%BE-%D0%B5-%D0%B2%D0%BD%D0%B5%D1%81%D0%B5%D0%BD-%D0%BE%D1%82-%D0%B0%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B9%D0%B4%D0%B6%D0%B0%D0%BD/
2021-10-16,Nova,Офанзива,Асен Василев,25 - ПРОДЪЛЖАВАМЕ ПРОМЯНАТА,https://nova.bg/news/view/2021/10/16/343138/%D0%B2%D0%B0%D1%81%D0%B8%D0%BB%D0%B5%D0%B2-%D0%BD%D0%B5-%D0%B2%D0%BE%D0%B4%D0%B8%D0%BC-%D0%BF%D0%B0%D1%80%D1%82%D0%B8%D0%B9%D0%BD%D0%BE-%D0%B0%D0%BD%D0%B3%D0%B0%D0%B6%D0%B8%D1%80%D0%B0%D0%BD%D0%B8-%D1%80%D0%B0%D0%B7%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B8-%D0%B0-%D1%87%D0%B8%D1%81%D1%82%D0%BE-%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B5%D0%BB%D1%81%D0%BA%D0%B8/
2021-10-16,Nova,Офанзива,Иван Иванов,33 - БСП ЗА БЪЛГАРИЯ,https://nova.bg/news/view/2021/10/16/343139/%D0%B8%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2-%D0%B7%D0%B0%D0%BA%D1%80%D0%B8%D0%B2%D0%B0%D0%BD%D0%B5%D1%82%D0%BE-%D0%BD%D0%B0-%D1%81%D0%BF%D0%B5%D1%86%D0%BF%D1%80%D0%BE%D0%BA%D1%83%D1%80%D0%B0%D1%82%D1%83%D1%80%D0%B0%D1%82%D0%B0-%D0%B8-%D1%81%D0%BF%D0%B5%D1%86%D1%81%D1%8A%D0%B4%D0%B0-%D0%B5-%D0%BD%D0%B0%D0%BB%D0%B5%D0%B6%D0%B0%D1%89%D0%BE/
2021-10-16,Nova,Офанзива,Асен Балтов,32 - ГЕРБ-СДС,https://nova.bg/news/view/2021/10/16/343140/%D0%BF%D1%80%D0%BE%D1%84-%D0%B1%D0%B0%D0%BB%D1%82%D0%BE%D0%B2-%D0%BE%D1%87%D0%B0%D0%BA%D0%B2%D0%B0-%D1%81%D0%B5-50-%D1%83%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D0%BD%D0%B0-%D1%81%D0%BC%D1%8A%D1%80%D1%82%D0%BD%D0%BE%D1%81%D1%82%D1%82%D0%B0-%D0%BE%D1%82-covid-19/
2021-10-16,bTV,Тази събота и неделя,Мая Манолова,31 - ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,https://btvnovinite.bg/predavania/tazi-sabota-i-nedelia/lichno-intervju-kandidat-deputatat-ot-ibgni-maja-manolova.html
2021-10-16,bTV,Тази събота и неделя,Ерджан Ебатин,17 - ДПС,https://btvnovinite.bg/predavania/tazi-sabota-i-nedelia/lichno-intervju-vodachat-na-listata-na-dps-vav-varna-erdzhan-ebatin.html
2021-10-16,bTV,Тази събота и неделя,Деян Николов,5 - ВЪЗРАЖДАНЕ,https://btvnovinite.bg/predavania/tazi-sabota-i-nedelia/lichno-intervju-kandidat-deputatat-ot-vazrazhdane-dejan-nikolov.html
2021-10-17,Nova,Събуди се,Асен Балтов,32 - ГЕРБ-СДС,https://nova.bg/news/view/2021/10/17/343179/%D0%B7%D0%B4%D1%80%D0%B0%D0%B2%D0%B5-%D0%B7%D0%B0-%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0-%D1%83%D0%BF%D0%BE%D1%82%D1%80%D0%B5%D0%B1%D0%B0-%D1%81%D0%BF%D0%BE%D1%80%D1%8F%D1%82-%D0%B3%D0%B5%D1%80%D0%B1-%D0%B8-%D0%B1%D1%81%D0%BF/
